Sentence,Label
"accord to gran , the compani ha no plan to move all product to russia , although that is where the compani is grow .",0
"for the last quarter of 2010 , componenta s net sale doubl to eur131m from eur76m for the same period a year earlier , while it move to a zero pretax profit from a pretax loss of eur7m .",1
"in the third quarter of 2010 , net sale increas by 5.2 % to eur 205.5 mn , and oper profit by 34.9 % to eur 23.5 mn .",1
oper profit rose to eur 13.1 mn from eur 8.7 mn in the correspond period in 2007 repres 7.7 % of net sale .,1
"oper profit total eur 21.1 mn , up from eur 18.6 mn in 2007 , repres 9.7 % of net sale .",1
"finnish talentum report it oper profit increas to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sale total eur 103.3 mn , up from eur 96.4 mn .",1
"cloth retail chain seppl s sale increas by 8 % to eur 155.2 mn , and oper profit rose to eur 31.1 mn from eur 17.1 mn in 2004 .",1
"consolid net sale increas 16 % to reach eur74 .8 m , while oper profit amount to eur0 .9 m compar to a loss of eur0 .7 m in the prior year period .",1
"foundri divis report it sale increas by 9.7 % to eur 63.1 mn from eur 57.5 mn in the correspond period in 2006 , and sale of the machin shop divis increas by 16.4 % to eur 41.2 mn from eur 35.4 mn in the correspond period in 2006 .",1
"helsinki afx share close higher , led by nokia after it announc plan to team up with sanyo to manufactur 3g handset , and by nokian tyre after it fourthquart earn report beat analyst expect , dealer said .",1
"it board of director will propos a dividend of eur0 .12 per share for 2010 , up from the eur0 .08 per share paid in 2009 .",1
"megafon s subscrib base increas 16.1 % in 2009 to 50.5 million user as of decemb 31 , while it market share by the number of custom amount to 24 % as of late 2009 , up from 23 % as of late 2008 , accord to teliasonera estim .",1
"net incom from life insur doubl to eur 6.8 mn from eur 3.2 mn , and net incom from nonlif insur rose to eur 5.2 mn from eur 1.5 mn in the correspond period in 2009 .",1
net sale increas to eur193 .3 m from eur179 .9 m and pretax profit rose by 34.2 % to eur43 .1 m. eur1 usd1 .4,1
"net sale surg by 18.5 % to eur167 .8 m. telest said that eur20 .4 m , or 12.2 % , of the sale came from the acquisit made in 2009 .",1
nordea group s oper profit increas in 2010 by 18 percent yearonyear to 3.64 billion euro and total revenu by 3 percent to 9.33 billion euro .,1
"oper profit for the ninemonth period increas from eur13 .6 m , while net sale increas from eur394 .7 m , as compar to the correspond period in 2005 .",1
"oper profit for the threemonth period increas from eur1 .2 m , while revenu increas from eur20 .2 m , as compar to the correspond period in 2005 .",1
"the compani s net profit rose 11.4 % on the year to 82.2 million euro in 2005 on sale of 686.5 million euro , 13.8 % up on the year , the compani said earlier .",1
"the lithuanian beer market made up 14.41 million liter in januari , a rise of 0.8 percent from the yearearli figur , the lithuanian brewer associ report cite the result from it member .",1
"vike line s cargo revenu increas by 5.4 % to eur 21.46 mn , and cargo volum increas by 2.4 % to 70,116 cargo unit .",1
"the fair valu of the properti portfolio doubl as a result of the kapite acquisit and total eur 2,686.2 1,259.7 million .",1
